epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,842.351,2.29496,2.96641,1.64902,0.325,0.34854,0.26299,0.15399,2.14492,1.73145,1.44312,0.0668696,0.000166484,0.000166484
2,1466.26,2.10253,1.87226,1.56076,0.52295,0.46613,0.43834,0.27359,2.01604,1.40189,1.34993,0.0337013,0.000331502,0.000331502
3,2327.43,2.05496,1.5199,1.49907,0.5716,0.44982,0.46533,0.29298,1.94302,1.26845,1.28788,0.000531339,0.000494869,0.000494869
4,3056.36,1.99258,1.34838,1.4574,0.60366,0.5022,0.52391,0.33064,1.90518,1.21991,1.27322,0.000492575,0.000492575,0.000492575
5,3959.6,1.94201,1.20626,1.42555,0.62615,0.50983,0.55036,0.34828,1.90696,1.06994,1.26635,0.0004901,0.0004901,0.0004901
6,4940.1,1.89215,1.13756,1.38531,0.64896,0.52025,0.5504,0.35183,1.86167,1.05437,1.2565,0.000487625,0.000487625,0.000487625
7,5832.21,1.87749,1.12272,1.38933,0.65375,0.51422,0.56058,0.35436,1.90907,1.13549,1.26875,0.00048515,0.00048515,0.00048515
8,6459.2,1.85268,1.04443,1.36828,0.63139,0.55124,0.56782,0.37031,1.82491,1.03781,1.251,0.000482675,0.000482675,0.000482675
9,7133.47,1.83037,1.03261,1.35917,0.65414,0.5477,0.59629,0.38349,1.86634,0.96813,1.26501,0.0004802,0.0004802,0.0004802
10,8056.33,1.82646,1.04473,1.36063,0.63513,0.54366,0.56632,0.34683,1.93513,0.975,1.27913,0.000477725,0.000477725,0.000477725
11,8906.91,1.76875,0.97414,1.34033,0.64491,0.55381,0.57378,0.36413,1.84802,1.05523,1.26642,0.00047525,0.00047525,0.00047525
12,9828.14,1.78201,0.95594,1.33831,0.66926,0.562,0.58829,0.3748,1.88514,1.05188,1.27799,0.000472775,0.000472775,0.000472775
13,10555.3,1.76435,0.95573,1.32797,0.67253,0.55966,0.60035,0.38537,1.93323,1.05571,1.27614,0.0004703,0.0004703,0.0004703
14,11555.7,1.76282,0.94525,1.32519,0.64377,0.56002,0.59535,0.37925,1.88922,0.99836,1.26595,0.000467825,0.000467825,0.000467825
15,12519.4,1.74459,0.94937,1.31075,0.65825,0.56489,0.60875,0.38677,1.93997,1.01655,1.2839,0.00046535,0.00046535,0.00046535
16,13299.2,1.71546,0.91897,1.30361,0.6803,0.58007,0.61149,0.39329,1.91044,0.97498,1.27734,0.000462875,0.000462875,0.000462875
17,14133.9,1.70054,0.88595,1.29175,0.71551,0.53784,0.61546,0.39188,1.87203,0.99166,1.24311,0.0004604,0.0004604,0.0004604
18,15242.2,1.69603,0.87987,1.28584,0.68991,0.57907,0.63434,0.4017,1.84885,0.97487,1.2292,0.000457925,0.000457925,0.000457925
19,16211.9,1.71053,0.87577,1.2853,0.69646,0.57236,0.62796,0.40009,1.8832,0.94596,1.26069,0.00045545,0.00045545,0.00045545
20,17152.3,1.66157,0.85687,1.25887,0.68945,0.60996,0.65096,0.41414,1.85062,0.92416,1.21464,0.000452975,0.000452975,0.000452975
21,17962.3,1.65145,0.8513,1.2628,0.70573,0.56686,0.64261,0.4087,1.89488,0.86751,1.22712,0.0004505,0.0004505,0.0004505
22,18504.3,1.66873,0.83481,1.27032,0.7116,0.60683,0.65529,0.41988,1.81291,0.9114,1.21012,0.000448025,0.000448025,0.000448025
23,19423.8,1.64406,0.81938,1.26839,0.69246,0.60198,0.64197,0.40684,1.79309,0.95619,1.2167,0.00044555,0.00044555,0.00044555
24,20094.2,1.63687,0.81876,1.26495,0.72005,0.5698,0.63695,0.4047,1.82736,0.95413,1.225,0.000443075,0.000443075,0.000443075
25,21112.5,1.6165,0.79993,1.25064,0.70936,0.57753,0.64442,0.41406,1.85896,0.90121,1.24493,0.0004406,0.0004406,0.0004406
26,21923.8,1.58945,0.80864,1.25212,0.65445,0.59401,0.62303,0.39974,1.8131,0.93812,1.23556,0.000438125,0.000438125,0.000438125
27,22860.4,1.61624,0.81871,1.25655,0.68429,0.60381,0.64457,0.41462,1.8502,0.94526,1.24282,0.00043565,0.00043565,0.00043565
28,23496.3,1.62143,0.79495,1.26714,0.69335,0.59648,0.64501,0.41639,1.8615,0.92665,1.24857,0.000433175,0.000433175,0.000433175
29,24082.5,1.59176,0.77202,1.24711,0.73004,0.58516,0.65056,0.42125,1.89387,0.92921,1.26391,0.0004307,0.0004307,0.0004307
30,24912.7,1.59067,0.79347,1.24518,0.72102,0.59528,0.64083,0.41972,1.90805,0.94144,1.28891,0.000428225,0.000428225,0.000428225
31,25934,1.57195,0.76473,1.22256,0.7242,0.60126,0.651,0.41505,1.88312,0.93562,1.27677,0.00042575,0.00042575,0.00042575
32,26501.2,1.56864,0.76905,1.22966,0.69955,0.59741,0.63452,0.40672,1.92723,0.99248,1.26743,0.000423275,0.000423275,0.000423275
33,27398.9,1.56874,0.75517,1.22333,0.76038,0.56486,0.6509,0.42038,1.84122,0.92898,1.2431,0.0004208,0.0004208,0.0004208
34,28283.4,1.55128,0.74879,1.21925,0.71356,0.61526,0.65517,0.42083,1.84465,0.9178,1.25165,0.000418325,0.000418325,0.000418325
35,29069.5,1.53643,0.75169,1.22254,0.71058,0.61783,0.65947,0.42438,1.82164,0.90536,1.23961,0.00041585,0.00041585,0.00041585
36,29686.6,1.54155,0.74906,1.21796,0.69576,0.61649,0.64412,0.41719,1.89293,0.91729,1.28328,0.000413375,0.000413375,0.000413375
37,30307.8,1.51934,0.71463,1.20567,0.6957,0.61013,0.65244,0.42105,1.89957,0.92651,1.26517,0.0004109,0.0004109,0.0004109
38,31246.6,1.50938,0.71722,1.20343,0.72284,0.60688,0.65366,0.42154,1.92724,0.95373,1.25775,0.000408425,0.000408425,0.000408425
39,32280,1.49668,0.71906,1.19541,0.72558,0.60575,0.65729,0.42419,1.90739,0.90861,1.272,0.00040595,0.00040595,0.00040595
40,33317.1,1.4971,0.71916,1.21047,0.69074,0.62539,0.64323,0.41593,1.93097,0.915,1.28388,0.000403475,0.000403475,0.000403475
41,33976.3,1.45956,0.68401,1.19457,0.72181,0.61899,0.65324,0.42142,1.87036,0.92502,1.27463,0.000401,0.000401,0.000401
42,34633.4,1.48826,0.69737,1.20145,0.70618,0.62622,0.65216,0.41652,1.90057,0.93983,1.28405,0.000398525,0.000398525,0.000398525
43,35351.6,1.47907,0.70012,1.18738,0.74184,0.5997,0.66858,0.42976,1.8845,0.91863,1.25897,0.00039605,0.00039605,0.00039605
44,36197.7,1.44605,0.68638,1.18515,0.72317,0.61589,0.6625,0.42325,1.91922,0.88058,1.28984,0.000393575,0.000393575,0.000393575
45,37155.1,1.49032,0.69409,1.19029,0.71612,0.62521,0.66604,0.43238,1.92468,0.91822,1.30244,0.0003911,0.0003911,0.0003911
46,37957.3,1.49245,0.68649,1.19126,0.72499,0.60042,0.66371,0.43142,1.9196,0.93954,1.28093,0.000388625,0.000388625,0.000388625
47,38710.1,1.46081,0.66035,1.18385,0.73852,0.58839,0.66033,0.4253,1.8543,0.94715,1.26045,0.00038615,0.00038615,0.00038615
48,39665.9,1.46303,0.66155,1.17423,0.74482,0.61328,0.66975,0.43512,1.8692,0.89681,1.27766,0.000383675,0.000383675,0.000383675
49,40216,1.45212,0.65516,1.17404,0.74612,0.618,0.67563,0.43913,1.90464,0.86648,1.29729,0.0003812,0.0003812,0.0003812
50,41066.7,1.44206,0.66344,1.17573,0.7307,0.61702,0.66439,0.43272,1.89783,0.95325,1.27618,0.000378725,0.000378725,0.000378725
51,41579,1.42112,0.66188,1.16503,0.73892,0.62012,0.67802,0.43954,1.89105,0.87902,1.28557,0.00037625,0.00037625,0.00037625
52,42167.1,1.42273,0.63387,1.1679,0.7243,0.64195,0.68368,0.44114,1.95211,0.8689,1.30236,0.000373775,0.000373775,0.000373775
53,42961.2,1.43495,0.643,1.16014,0.74463,0.63325,0.68495,0.43635,1.94417,0.8853,1.31311,0.0003713,0.0003713,0.0003713
54,43764.2,1.44135,0.66551,1.17579,0.73792,0.63629,0.67515,0.43445,1.92562,0.94242,1.29186,0.000368825,0.000368825,0.000368825
55,44424,1.41838,0.64903,1.16014,0.73127,0.61773,0.66912,0.43329,1.92474,0.90469,1.30699,0.00036635,0.00036635,0.00036635
56,45379,1.4057,0.6292,1.15327,0.72839,0.65361,0.68488,0.43849,1.88466,0.92183,1.26446,0.000363875,0.000363875,0.000363875
57,46118.4,1.4064,0.63089,1.14871,0.73292,0.60721,0.6681,0.42932,1.87042,0.90211,1.25421,0.0003614,0.0003614,0.0003614
58,47061.8,1.39672,0.62643,1.15907,0.76315,0.60503,0.67252,0.43106,1.87837,0.94676,1.28135,0.000358925,0.000358925,0.000358925
59,47714.1,1.38959,0.61895,1.15866,0.74292,0.6305,0.68305,0.44113,1.888,0.9142,1.27244,0.00035645,0.00035645,0.00035645
60,48495.9,1.37694,0.61737,1.14629,0.737,0.61942,0.67445,0.43256,1.91688,0.877,1.28751,0.000353975,0.000353975,0.000353975
61,49294.6,1.38561,0.61242,1.14042,0.73999,0.61951,0.67781,0.4372,1.85897,0.96523,1.27731,0.0003515,0.0003515,0.0003515
62,50161.3,1.38079,0.61185,1.14404,0.74614,0.61737,0.67838,0.44203,1.85798,0.90375,1.2696,0.000349025,0.000349025,0.000349025
63,51147.4,1.35048,0.62531,1.13004,0.7475,0.62427,0.67723,0.43799,1.88673,0.91039,1.274,0.00034655,0.00034655,0.00034655
64,51840,1.35948,0.61192,1.14198,0.73379,0.62761,0.67775,0.43521,1.87278,0.90719,1.29294,0.000344075,0.000344075,0.000344075
65,52584.6,1.34478,0.61021,1.12429,0.78078,0.60908,0.68572,0.44208,1.87383,0.92314,1.28107,0.0003416,0.0003416,0.0003416
66,53147.7,1.35424,0.59996,1.13266,0.73192,0.63302,0.68065,0.43479,1.88554,0.91083,1.28043,0.000339125,0.000339125,0.000339125
